Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
camisa-brasil-third-2026,,,,,,,,M,CAMISA-BRASIL-THIRD-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-third-2026,,,,,,,,G,CAMISA-BRASIL-THIRD-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-third-2026,,,,,,,,GG,CAMISA-BRASIL-THIRD-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-third-2026,,,,,,,,XGG,CAMISA-BRASIL-THIRD-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-home-2026,"Camisa Argentina Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Argentina Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,argentina",TRUE,Tamanho,P,CAMISA-ARGENTINA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-home-2026,,,,,,,,M,CAMISA-ARGENTINA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-home-2026,,,,,,,,G,CAMISA-ARGENTINA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-home-2026,,,,,,,,GG,CAMISA-ARGENTINA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-home-2026,,,,,,,,XGG,CAMISA-ARGENTINA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-away-2026,"Camisa Argentina Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Argentina Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,argentina",TRUE,Tamanho,P,CAMISA-ARGENTINA-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-away-2026,,,,,,,,M,CAMISA-ARGENTINA-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-away-2026,,,,,,,,G,CAMISA-ARGENTINA-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-away-2026,,,,,,,,GG,CAMISA-ARGENTINA-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-argentina-away-2026,,,,,,,,XGG,CAMISA-ARGENTINA-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-home-2026,"Camisa Franca Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Franca Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,franca,europa",TRUE,Tamanho,P,CAMISA-FRANCA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-home-2026,,,,,,,,M,CAMISA-FRANCA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-home-2026,,,,,,,,G,CAMISA-FRANCA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-home-2026,,,,,,,,GG,CAMISA-FRANCA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-home-2026,,,,,,,,XGG,CAMISA-FRANCA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-away-2026,"Camisa Franca Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Franca Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,franca,europa",TRUE,Tamanho,P,CAMISA-FRANCA-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-away-2026,,,,,,,,M,CAMISA-FRANCA-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-away-2026,,,,,,,,G,CAMISA-FRANCA-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-away-2026,,,,,,,,GG,CAMISA-FRANCA-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-franca-away-2026,,,,,,,,XGG,CAMISA-FRANCA-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-home-2026,"Camisa Alemanha Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Alemanha Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,alemanha,europa",TRUE,Tamanho,P,CAMISA-ALEMANHA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-home-2026,,,,,,,,M,CAMISA-ALEMANHA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-home-2026,,,,,,,,G,CAMISA-ALEMANHA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-home-2026,,,,,,,,GG,CAMISA-ALEMANHA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-home-2026,,,,,,,,XGG,CAMISA-ALEMANHA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-away-2026,"Camisa Alemanha Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Alemanha Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,alemanha,europa",TRUE,Tamanho,P,CAMISA-ALEMANHA-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-away-2026,,,,,,,,M,CAMISA-ALEMANHA-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-away-2026,,,,,,,,G,CAMISA-ALEMANHA-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-away-2026,,,,,,,,GG,CAMISA-ALEMANHA-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-alemanha-away-2026,,,,,,,,XGG,CAMISA-ALEMANHA-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-home-2026,"Camisa Espanha Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Espanha Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,espanha,europa",TRUE,Tamanho,P,CAMISA-ESPANHA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-home-2026,,,,,,,,M,CAMISA-ESPANHA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-home-2026,,,,,,,,G,CAMISA-ESPANHA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-home-2026,,,,,,,,GG,CAMISA-ESPANHA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-home-2026,,,,,,,,XGG,CAMISA-ESPANHA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-away-2026,"Camisa Espanha Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Espanha Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,espanha,europa",TRUE,Tamanho,P,CAMISA-ESPANHA-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-away-2026,,,,,,,,M,CAMISA-ESPANHA-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-away-2026,,,,,,,,G,CAMISA-ESPANHA-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-away-2026,,,,,,,,GG,CAMISA-ESPANHA-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-espanha-away-2026,,,,,,,,XGG,CAMISA-ESPANHA-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-home-2026,"Camisa Portugal Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Portugal Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,portugal,europa",TRUE,Tamanho,P,CAMISA-PORTUGAL-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-home-2026,,,,,,,,M,CAMISA-PORTUGAL-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-home-2026,,,,,,,,G,CAMISA-PORTUGAL-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-home-2026,,,,,,,,GG,CAMISA-PORTUGAL-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-home-2026,,,,,,,,XGG,CAMISA-PORTUGAL-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-away-2026,"Camisa Portugal Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Portugal Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,portugal,europa",TRUE,Tamanho,P,CAMISA-PORTUGAL-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-away-2026,,,,,,,,M,CAMISA-PORTUGAL-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-away-2026,,,,,,,,G,CAMISA-PORTUGAL-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-away-2026,,,,,,,,GG,CAMISA-PORTUGAL-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-portugal-away-2026,,,,,,,,XGG,CAMISA-PORTUGAL-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-home-2026,"Camisa Inglaterra Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Inglaterra Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,inglaterra,europa",TRUE,Tamanho,P,CAMISA-INGLATERRA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-home-2026,,,,,,,,M,CAMISA-INGLATERRA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-home-2026,,,,,,,,G,CAMISA-INGLATERRA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-home-2026,,,,,,,,GG,CAMISA-INGLATERRA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-home-2026,,,,,,,,XGG,CAMISA-INGLATERRA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-away-2026,"Camisa Inglaterra Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Inglaterra Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,inglaterra,europa",TRUE,Tamanho,P,CAMISA-INGLATERRA-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-away-2026,,,,,,,,M,CAMISA-INGLATERRA-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-away-2026,,,,,,,,G,CAMISA-INGLATERRA-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-away-2026,,,,,,,,GG,CAMISA-INGLATERRA-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-inglaterra-away-2026,,,,,,,,XGG,CAMISA-INGLATERRA-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-italia-home-2026,"Camisa Italia Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Italia Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,italia,europa",TRUE,Tamanho,P,CAMISA-ITALIA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-italia-home-2026,,,,,,,,M,CAMISA-ITALIA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-italia-home-2026,,,,,,,,G,CAMISA-ITALIA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-italia-home-2026,,,,,,,,GG,CAMISA-ITALIA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-italia-home-2026,,,,,,,,XGG,CAMISA-ITALIA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-holanda-home-2026,"Camisa Holanda Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Holanda Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,holanda,europa",TRUE,Tamanho,P,CAMISA-HOLANDA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-holanda-home-2026,,,,,,,,M,CAMISA-HOLANDA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-holanda-home-2026,,,,,,,,G,CAMISA-HOLANDA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-holanda-home-2026,,,,,,,,GG,CAMISA-HOLANDA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-holanda-home-2026,,,,,,,,XGG,CAMISA-HOLANDA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-belgica-home-2026,"Camisa Belgica Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Belgica Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,belgica,europa",TRUE,Tamanho,P,CAMISA-BELGICA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-belgica-home-2026,,,,,,,,M,CAMISA-BELGICA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-belgica-home-2026,,,,,,,,G,CAMISA-BELGICA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-belgica-home-2026,,,,,,,,GG,CAMISA-BELGICA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-belgica-home-2026,,,,,,,,XGG,CAMISA-BELGICA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-croacia-home-2026,"Camisa Croatia Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Croatia Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,croacia,europa",TRUE,Tamanho,P,CAMISA-CROACIA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-croacia-home-2026,,,,,,,,M,CAMISA-CROACIA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-croacia-home-2026,,,,,,,,G,CAMISA-CROACIA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-croacia-home-2026,,,,,,,,GG,CAMISA-CROACIA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-croacia-home-2026,,,,,,,,XGG,CAMISA-CROACIA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-uruguai-home-2026,"Camisa Uruguai Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Uruguai Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,uruguai,america-do-sul",TRUE,Tamanho,P,CAMISA-URUGUAI-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-uruguai-home-2026,,,,,,,,M,CAMISA-URUGUAI-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-uruguai-home-2026,,,,,,,,G,CAMISA-URUGUAI-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-uruguai-home-2026,,,,,,,,GG,CAMISA-URUGUAI-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-uruguai-home-2026,,,,,,,,XGG,CAMISA-URUGUAI-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-colombia-home-2026,"Camisa Colombia Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Colombia Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,colombia,america-do-sul",TRUE,Tamanho,P,CAMISA-COLOMBIA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-colombia-home-2026,,,,,,,,M,CAMISA-COLOMBIA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-colombia-home-2026,,,,,,,,G,CAMISA-COLOMBIA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-colombia-home-2026,,,,,,,,GG,CAMISA-COLOMBIA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-colombia-home-2026,,,,,,,,XGG,CAMISA-COLOMBIA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-mexico-home-2026,"Camisa Mexico Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Mexico Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,mexico",TRUE,Tamanho,P,CAMISA-MEXICO-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-mexico-home-2026,,,,,,,,M,CAMISA-MEXICO-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-mexico-home-2026,,,,,,,,G,CAMISA-MEXICO-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-mexico-home-2026,,,,,,,,GG,CAMISA-MEXICO-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-mexico-home-2026,,,,,,,,XGG,CAMISA-MEXICO-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-eua-home-2026,"Camisa EUA Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa EUA Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,eua",TRUE,Tamanho,P,CAMISA-EUA-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-eua-home-2026,,,,,,,,M,CAMISA-EUA-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-eua-home-2026,,,,,,,,G,CAMISA-EUA-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-eua-home-2026,,,,,,,,GG,CAMISA-EUA-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-eua-home-2026,,,,,,,,XGG,CAMISA-EUA-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
