Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
moletom-canguru-quiksilver-3-cabos,Moletom Canguru Quiksilver 3 Cabos,"<p>Moletom canguru Quiksilver 3 cabos, disponível em várias cores (off-white, pink, vinho, preto).</p>",Quiksilver,Moletom,"moletom,quiksilver,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-QUIKSILVER-3-CABOS-P,3,deny,manual,199.99,TRUE,TRUE,,1,Moletom Canguru Quiksilver 3 Cabos,active
moletom-canguru-quiksilver-3-cabos,,,,,,,Tamanho,M,MOLETOM-CANGURU-QUIKSILVER-3-CABOS-M,3,deny,manual,199.99,TRUE,TRUE,,,,
moletom-canguru-quiksilver-3-cabos,,,,,,,Tamanho,G,MOLETOM-CANGURU-QUIKSILVER-3-CABOS-G,3,deny,manual,199.99,TRUE,TRUE,,,,
moletom-canguru-quiksilver-3-cabos,,,,,,,Tamanho,GG,MOLETOM-CANGURU-QUIKSILVER-3-CABOS-GG,3,deny,manual,199.99,TRUE,TRUE,,,,
moletom-canguru-monkey-recorte,Moletom Canguru Monkey Recorte,"<p>Moletom canguru preto com recorte verde-oliva no capuz/ombro e bordado ""M"".</p>",Monkey,Moletom,"moletom,monkey,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-MONKEY-RECORTE-P,3,deny,manual,359.99,TRUE,TRUE,,1,Moletom Canguru Monkey Recorte,active
moletom-canguru-monkey-recorte,,,,,,,Tamanho,M,MOLETOM-CANGURU-MONKEY-RECORTE-M,3,deny,manual,359.99,TRUE,TRUE,,,,
moletom-canguru-monkey-recorte,,,,,,,Tamanho,G,MOLETOM-CANGURU-MONKEY-RECORTE-G,3,deny,manual,359.99,TRUE,TRUE,,,,
moletom-canguru-monkey-recorte,,,,,,,Tamanho,GG,MOLETOM-CANGURU-MONKEY-RECORTE-GG,3,deny,manual,359.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-classica,Moletom Canguru Brothas & Cash Clássica das Ruas,"<p>Moletom canguru mostarda/caramelo, estampa ""Brothas & Cash"" e ""Clássica das Ruas"".</p>",Brothas & Cash,Moletom,"moletom,brothas-&-cash,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-BROTHAS-CASH-CLASSICA-P,3,deny,manual,319.99,TRUE,TRUE,,1,Moletom Canguru Brothas & Cash Clássica das Ruas,active
moletom-canguru-brothas-cash-classica,,,,,,,Tamanho,M,MOLETOM-CANGURU-BROTHAS-CASH-CLASSICA-M,3,deny,manual,319.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-classica,,,,,,,Tamanho,G,MOLETOM-CANGURU-BROTHAS-CASH-CLASSICA-G,3,deny,manual,319.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-classica,,,,,,,Tamanho,GG,MOLETOM-CANGURU-BROTHAS-CASH-CLASSICA-GG,3,deny,manual,319.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-palhaco,Moletom Canguru Brothas & Cash Palhaço,"<p>Moletom canguru cinza com estampa de palhaço sorrindo ""Brothas & Cash"".</p>",Brothas & Cash,Moletom,"moletom,brothas-&-cash,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-BROTHAS-CASH-PALHACO-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom Canguru Brothas & Cash Palhaço,active
moletom-canguru-brothas-cash-palhaco,,,,,,,Tamanho,M,MOLETOM-CANGURU-BROTHAS-CASH-PALHACO-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-palhaco,,,,,,,Tamanho,G,MOLETOM-CANGURU-BROTHAS-CASH-PALHACO-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-brothas-cash-palhaco,,,,,,,Tamanho,GG,MOLETOM-CANGURU-BROTHAS-CASH-PALHACO-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
corta-vento-quiksilver,Corta-Vento Quiksilver,<p>Corta-vento leve cinza/preto com allover print de logos Quiksilver.</p>,Quiksilver,Jaqueta,"jaqueta,quiksilver,streetwear,jaquetas",TRUE,Tamanho,P,CORTA-VENTO-QUIKSILVER-P,3,deny,manual,199.99,TRUE,TRUE,,1,Corta-Vento Quiksilver,active
corta-vento-quiksilver,,,,,,,Tamanho,M,CORTA-VENTO-QUIKSILVER-M,3,deny,manual,199.99,TRUE,TRUE,,,,
corta-vento-quiksilver,,,,,,,Tamanho,G,CORTA-VENTO-QUIKSILVER-G,3,deny,manual,199.99,TRUE,TRUE,,,,
corta-vento-quiksilver,,,,,,,Tamanho,GG,CORTA-VENTO-QUIKSILVER-GG,3,deny,manual,199.99,TRUE,TRUE,,,,
moletom-canguru-chronic-cinza,Moletom Canguru Chronic Cinza,"<p>Moletom canguru cinza com wordmark grande ""Chronic"".</p>",Chronic,Moletom,"moletom,chronic,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-CHRONIC-CINZA-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom Canguru Chronic Cinza,active
moletom-canguru-chronic-cinza,,,,,,,Tamanho,M,MOLETOM-CANGURU-CHRONIC-CINZA-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-cinza,,,,,,,Tamanho,G,MOLETOM-CANGURU-CHRONIC-CINZA-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-cinza,,,,,,,Tamanho,GG,MOLETOM-CANGURU-CHRONIC-CINZA-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-maquina62,Moletom Canguru Máquina 62,"<p>Moletom canguru preto com logo dourado ""M"" e etiqueta ""Máquina 62"".</p>",Máquina 62,Moletom,"moletom,máquina-62,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-MAQUINA62-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom Canguru Máquina 62,active
moletom-canguru-maquina62,,,,,,,Tamanho,M,MOLETOM-CANGURU-MAQUINA62-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-maquina62,,,,,,,Tamanho,G,MOLETOM-CANGURU-MAQUINA62-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-maquina62,,,,,,,Tamanho,GG,MOLETOM-CANGURU-MAQUINA62-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-ziper-chronic-preto,Moletom de Zíper Chronic Preto,<p>Moletom de zíper preto da linha Chronic.</p>,Chronic,Moletom,"moletom,chronic,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-ZIPER-CHRONIC-PRETO-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom de Zíper Chronic Preto,active
moletom-ziper-chronic-preto,,,,,,,Tamanho,M,MOLETOM-ZIPER-CHRONIC-PRETO-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-ziper-chronic-preto,,,,,,,Tamanho,G,MOLETOM-ZIPER-CHRONIC-PRETO-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-ziper-chronic-preto,,,,,,,Tamanho,GG,MOLETOM-ZIPER-CHRONIC-PRETO-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-ziper-grenich,Moletom de Zíper Grenich,"<p>Moletom de zíper preto com patch ""Outdoor Appreciation Since the Nineties"".</p>",Grenich,Moletom,"moletom,grenich,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-ZIPER-GRENICH-P,3,deny,manual,229.99,TRUE,TRUE,,1,Moletom de Zíper Grenich,active
moletom-ziper-grenich,,,,,,,Tamanho,M,MOLETOM-ZIPER-GRENICH-M,3,deny,manual,229.99,TRUE,TRUE,,,,
moletom-ziper-grenich,,,,,,,Tamanho,G,MOLETOM-ZIPER-GRENICH-G,3,deny,manual,229.99,TRUE,TRUE,,,,
moletom-ziper-grenich,,,,,,,Tamanho,GG,MOLETOM-ZIPER-GRENICH-GG,3,deny,manual,229.99,TRUE,TRUE,,,,
moletom-canguru-chronic-foco-missao,Moletom Canguru Chronic Foco na Missão,"<p>Moletom canguru marrom/turquesa com estampa ""Chronic Foco na Missão"" nas costas e logo globo no peito.</p>",Chronic,Moletom,"moletom,chronic,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-CHRONIC-FOCO-MISSAO-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom Canguru Chronic Foco na Missão,active
moletom-canguru-chronic-foco-missao,,,,,,,Tamanho,M,MOLETOM-CANGURU-CHRONIC-FOCO-MISSAO-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-foco-missao,,,,,,,Tamanho,G,MOLETOM-CANGURU-CHRONIC-FOCO-MISSAO-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-foco-missao,,,,,,,Tamanho,GG,MOLETOM-CANGURU-CHRONIC-FOCO-MISSAO-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-terracota,Moletom Canguru Chronic Terracota,<p>Moletom canguru terracota com bordado verde da Chronic.</p>,Chronic,Moletom,"moletom,chronic,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-CHRONIC-TERRACOTA-P,3,deny,manual,299.99,TRUE,TRUE,,1,Moletom Canguru Chronic Terracota,active
moletom-canguru-chronic-terracota,,,,,,,Tamanho,M,MOLETOM-CANGURU-CHRONIC-TERRACOTA-M,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-terracota,,,,,,,Tamanho,G,MOLETOM-CANGURU-CHRONIC-TERRACOTA-G,3,deny,manual,299.99,TRUE,TRUE,,,,
moletom-canguru-chronic-terracota,,,,,,,Tamanho,GG,MOLETOM-CANGURU-CHRONIC-TERRACOTA-GG,3,deny,manual,299.99,TRUE,TRUE,,,,
chinelo-kenner-branco-amarelo,Chinelo Kenner Summer Branco e Amarelo,"<p>Chinelo Kenner Summer branco com detalhes amarelos e logo ""K"".</p>",Kenner,Chinelo,"chinelo,kenner,streetwear,chinelos",TRUE,Tamanho,Único,CHINELO-KENNER-BRANCO-AMARELO-Único,3,deny,manual,129.99,TRUE,TRUE,,1,Chinelo Kenner Summer Branco e Amarelo,active
chinelo-kenner-branco-pink,Chinelo Kenner Summer Branco e Pink,<p>Chinelo Kenner Summer branco com tira e estampa pink.</p>,Kenner,Chinelo,"chinelo,kenner,streetwear,chinelos",TRUE,Tamanho,Único,CHINELO-KENNER-BRANCO-PINK-Único,3,deny,manual,129.99,TRUE,TRUE,,1,Chinelo Kenner Summer Branco e Pink,active
chinelo-kenner-branco-preto,Chinelo Kenner Summer Branco e Preto,<p>Chinelo Kenner Summer branco com tira e estampa preta.</p>,Kenner,Chinelo,"chinelo,kenner,streetwear,chinelos",TRUE,Tamanho,Único,CHINELO-KENNER-BRANCO-PRETO-Único,3,deny,manual,129.99,TRUE,TRUE,,1,Chinelo Kenner Summer Branco e Preto,active
chinelo-kenner-degrade-laranja-vinho,Chinelo Kenner Summer Degradê Laranja e Vinho,<p>Chinelo Kenner Summer degradê amarelo/vinho com tira laranja.</p>,Kenner,Chinelo,"chinelo,kenner,streetwear,chinelos",TRUE,Tamanho,Único,CHINELO-KENNER-DEGRADE-LARANJA-VINHO-Único,3,deny,manual,129.99,TRUE,TRUE,,1,Chinelo Kenner Summer Degradê Laranja e Vinho,active
chinelo-kenner-preto-turquesa,Chinelo Kenner Summer Preto e Turquesa,<p>Chinelo Kenner Summer preto grafismo com tira turquesa.</p>,Kenner,Chinelo,"chinelo,kenner,streetwear,chinelos",TRUE,Tamanho,Único,CHINELO-KENNER-PRETO-TURQUESA-Único,3,deny,manual,129.99,TRUE,TRUE,,1,Chinelo Kenner Summer Preto e Turquesa,active
bermuda-jeans-monkey-caqui,Bermuda Jeans Monkey Caqui,"<p>Bermuda jeans cáqui Monkey, logo ""M"" bordado.</p>",Monkey,Bermuda,"bermuda,monkey,streetwear,bermudas-calcas",TRUE,Tamanho,38,BERMUDA-JEANS-MONKEY-CAQUI-38,3,deny,manual,159.99,TRUE,TRUE,,1,Bermuda Jeans Monkey Caqui,active
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,40,BERMUDA-JEANS-MONKEY-CAQUI-40,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,42,BERMUDA-JEANS-MONKEY-CAQUI-42,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,44,BERMUDA-JEANS-MONKEY-CAQUI-44,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,46,BERMUDA-JEANS-MONKEY-CAQUI-46,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,48,BERMUDA-JEANS-MONKEY-CAQUI-48,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-caqui,,,,,,,Tamanho,50,BERMUDA-JEANS-MONKEY-CAQUI-50,3,deny,manual,159.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,Bermuda Jeans Monkey Azul,"<p>Bermuda jeans azul claro Monkey, bordado dourado ""M"" e etiqueta ""Farao"".</p>",Monkey,Bermuda,"bermuda,monkey,streetwear,bermudas-calcas",TRUE,Tamanho,38,BERMUDA-JEANS-MONKEY-AZUL-38,3,deny,manual,169.99,TRUE,TRUE,,1,Bermuda Jeans Monkey Azul,active
bermuda-jeans-monkey-azul,,,,,,,Tamanho,40,BERMUDA-JEANS-MONKEY-AZUL-40,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,,,,,,,Tamanho,42,BERMUDA-JEANS-MONKEY-AZUL-42,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,,,,,,,Tamanho,44,BERMUDA-JEANS-MONKEY-AZUL-44,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,,,,,,,Tamanho,46,BERMUDA-JEANS-MONKEY-AZUL-46,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,,,,,,,Tamanho,48,BERMUDA-JEANS-MONKEY-AZUL-48,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-jeans-monkey-azul,,,,,,,Tamanho,50,BERMUDA-JEANS-MONKEY-AZUL-50,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,Bermuda Farad Monkey,<p>Bermuda jeans Monkey linha Farad.</p>,Monkey,Bermuda,"bermuda,monkey,streetwear,bermudas-calcas,preco-a-confirmar",TRUE,Tamanho,38,BERMUDA-FARAD-MONKEY-38,3,deny,manual,169.99,TRUE,TRUE,,1,Bermuda Farad Monkey,active
bermuda-farad-monkey,,,,,,,Tamanho,40,BERMUDA-FARAD-MONKEY-40,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,,,,,,,Tamanho,42,BERMUDA-FARAD-MONKEY-42,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,,,,,,,Tamanho,44,BERMUDA-FARAD-MONKEY-44,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,,,,,,,Tamanho,46,BERMUDA-FARAD-MONKEY-46,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,,,,,,,Tamanho,48,BERMUDA-FARAD-MONKEY-48,3,deny,manual,169.99,TRUE,TRUE,,,,
bermuda-farad-monkey,,,,,,,Tamanho,50,BERMUDA-FARAD-MONKEY-50,3,deny,manual,169.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,Calça Balão Brothas & Cash,"<p>Calça balão jeans Brothas & Cash com patch de palhaço e bordado ""B+C"" na barra.</p>",Brothas & Cash,Calça,"calça,brothas-&-cash,streetwear,bermudas-calcas",TRUE,Tamanho,38,CALCA-BALAO-BROTHAS-CASH-38,3,deny,manual,299.99,TRUE,TRUE,,1,Calça Balão Brothas & Cash,active
calca-balao-brothas-cash,,,,,,,Tamanho,40,CALCA-BALAO-BROTHAS-CASH-40,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,,,,,,,Tamanho,42,CALCA-BALAO-BROTHAS-CASH-42,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,,,,,,,Tamanho,44,CALCA-BALAO-BROTHAS-CASH-44,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,,,,,,,Tamanho,46,CALCA-BALAO-BROTHAS-CASH-46,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,,,,,,,Tamanho,48,CALCA-BALAO-BROTHAS-CASH-48,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-balao-brothas-cash,,,,,,,Tamanho,50,CALCA-BALAO-BROTHAS-CASH-50,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,Calça Jeans Bad Nocturnal Shadows,<p>Calça jeans linha Bad Nocturnal Shadows.</p>,Bad,Calça,"calça,bad,streetwear,bermudas-calcas,preco-a-confirmar",TRUE,Tamanho,38,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-38,3,deny,manual,299.99,TRUE,TRUE,,1,Calça Jeans Bad Nocturnal Shadows,active
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,40,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-40,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,42,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-42,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,44,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-44,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,46,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-46,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,48,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-48,3,deny,manual,299.99,TRUE,TRUE,,,,
calca-jeans-bad-nocturnal-shadows,,,,,,,Tamanho,50,CALCA-JEANS-BAD-NOCTURNAL-SHADOWS-50,3,deny,manual,299.99,TRUE,TRUE,,,,
bermuda-basquete-lakers-branca,Bermuda Basquete Lakers Branca,"<p>Bermuda de basquete NBA Los Angeles Lakers, branca com detalhes roxo e dourado.</p>",Nike,Bermuda,"bermuda,nike,streetwear,bermudas-calcas",TRUE,Tamanho,P,BERMUDA-BASQUETE-LAKERS-BRANCA-P,3,deny,manual,119.99,TRUE,TRUE,,1,Bermuda Basquete Lakers Branca,active
bermuda-basquete-lakers-branca,,,,,,,Tamanho,M,BERMUDA-BASQUETE-LAKERS-BRANCA-M,3,deny,manual,119.99,TRUE,TRUE,,,,
bermuda-basquete-lakers-branca,,,,,,,Tamanho,G,BERMUDA-BASQUETE-LAKERS-BRANCA-G,3,deny,manual,119.99,TRUE,TRUE,,,,
bermuda-basquete-lakers-branca,,,,,,,Tamanho,GG,BERMUDA-BASQUETE-LAKERS-BRANCA-GG,3,deny,manual,119.99,TRUE,TRUE,,,,
bermuda-basquete-lakers-roxa,Bermuda Basquete Lakers Roxa,"<p>Bermuda de basquete NBA Los Angeles Lakers, roxa com detalhes preto e dourado.</p>",Nike,Bermuda,"bermuda,nike,streetwear,bermudas-calcas",TRUE,Tamanho,P,BERMUDA-BASQUETE-LAKERS-ROXA-P,3,deny,manual,119.99,TRUE,TRUE,,1,Bermuda Basquete Lakers Roxa,active
bermuda-basquete-lakers-roxa,,,,,,,Tamanho,M,BERMUDA-BASQUETE-LAKERS-ROXA-M,3,deny,manual,119.99,TRUE,TRUE,,,,
