Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status
pitboss,,,,,,,,,Preta Lente Espelhada,ML-PITBOSS-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/pitboss/preta-lente-espelhada.jpg,2,Pit Boss — Preta Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/pitboss/preta-lente-espelhada.jpg,,,,
radar,Radar,"<p>O mais icônico dos esportivos — amplo campo de visão e alta performance.</p><p>Óculos Radar com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Branca Lente Sapphire,ML-RADAR-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radar/branca-lente-sapphire.jpg,1,Radar — Branca Lente Sapphire,https://site-pi-six-62.vercel.app/assets/produtos/radar/branca-lente-sapphire.jpg,FALSE,Radar — Monster Lupas,O mais icônico dos esportivos — amplo campo de visão e alta performance.,active
radar,,,,,,,,,Branca Lente Tanzanite,ML-RADAR-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radar/branca-lente-tanzanite.jpg,2,Radar — Branca Lente Tanzanite,https://site-pi-six-62.vercel.app/assets/produtos/radar/branca-lente-tanzanite.jpg,,,,
radar-kit,Radar + Kit,"<p>O Radar completo, com kit de lentes intercambiáveis.</p><p>Óculos Radar + Kit com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Dark Ruby,ML-RADAR-KIT-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radar-kit/dark-ruby.jpg,1,Radar + Kit — Dark Ruby,https://site-pi-six-62.vercel.app/assets/produtos/radar-kit/dark-ruby.jpg,FALSE,Radar + Kit — Monster Lupas,"O Radar completo, com kit de lentes intercambiáveis.",active
radar-kit,,,,,,,,,Espelhada,ML-RADAR-KIT-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radar-kit/espelhada.jpg,2,Radar + Kit — Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/radar-kit/espelhada.jpg,,,,
radarlock,RadarLock,"<p>Tecnologia Switchlock para trocar de lente em segundos.</p><p>Óculos RadarLock com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Preta Lente Preta,ML-RADARLOCK-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radarlock/preta-lente-preta.jpg,1,RadarLock — Preta Lente Preta,https://site-pi-six-62.vercel.app/assets/produtos/radarlock/preta-lente-preta.jpg,FALSE,RadarLock — Monster Lupas,Tecnologia Switchlock para trocar de lente em segundos.,active
radarlock,,,,,,,,,Silver Lente Espelhada,ML-RADARLOCK-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/radarlock/silver-lente-espelhada.jpg,2,RadarLock — Silver Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/radarlock/silver-lente-espelhada.jpg,,,,
romeo-1,Romeo 1,"<p>Clássico X-Metal de colecionador, visto em Missão Impossível 2.</p><p>Óculos Romeo 1 com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades, colecao-colecionador",TRUE,Cor,Xmetal Lente Espelhada,ML-ROMEO-1-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/romeo-1/xmetal-lente-espelhada.jpg,1,Romeo 1 — Xmetal Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/romeo-1/xmetal-lente-espelhada.jpg,FALSE,Romeo 1 — Monster Lupas,"Clássico X-Metal de colecionador, visto em Missão Impossível 2.",active
romeo-1,,,,,,,,,Xmetal Lente Gold,ML-ROMEO-1-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/romeo-1/xmetal-lente-gold.jpg,2,Romeo 1 — Xmetal Lente Gold,https://site-pi-six-62.vercel.app/assets/produtos/romeo-1/xmetal-lente-gold.jpg,,,,
romeo-2-carbon,Romeo 2 Carbon,"<p>X-Metal em titânio na tonalidade Carbon — leve e resistente.</p><p>Óculos Romeo 2 Carbon com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades, colecao-colecionador",TRUE,Cor,Black Lentes Black,ML-ROMEO-2-CARBON-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/romeo-2-carbon/black-lentes-black.jpg,1,Romeo 2 Carbon — Black Lentes Black,https://site-pi-six-62.vercel.app/assets/produtos/romeo-2-carbon/black-lentes-black.jpg,FALSE,Romeo 2 Carbon — Monster Lupas,X-Metal em titânio na tonalidade Carbon — leve e resistente.,active
romeo-2-carbon,,,,,,,,,Black Lentes Espelhada,ML-ROMEO-2-CARBON-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/romeo-2-carbon/black-lentes-espelhada.jpg,2,Romeo 2 Carbon — Black Lentes Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/romeo-2-carbon/black-lentes-espelhada.jpg,,,,
sphaera,Sphaera,"<p>Design arredondado e minimalista — estilo discreto no dia a dia.</p><p>Óculos Sphaera com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Preta,ML-SPHAERA-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/sphaera/preta-1.jpg,1,Sphaera — Preta,https://site-pi-six-62.vercel.app/assets/produtos/sphaera/preta-1.jpg,FALSE,Sphaera — Monster Lupas,Design arredondado e minimalista — estilo discreto no dia a dia.,active
splice,Splice,"<p>Armação versátil, com dezenas de combinações de cor.</p><p>Óculos Splice com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Cinza com Preto Lente Dark Ruby,ML-SPLICE-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/splice/cinza-com-preto-lente-dark-ruby.jpg,1,Splice — Cinza com Preto Lente Dark Ruby,https://site-pi-six-62.vercel.app/assets/produtos/splice/cinza-com-preto-lente-dark-ruby.jpg,FALSE,Splice — Monster Lupas,"Armação versátil, com dezenas de combinações de cor.",active
splice,,,,,,,,,Cinza com Preto Lente Gold Café,ML-SPLICE-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/splice/cinza-com-preto-lente-gold-cafe.jpg,2,Splice — Cinza com Preto Lente Gold Café,https://site-pi-six-62.vercel.app/assets/produtos/splice/cinza-com-preto-lente-gold-cafe.jpg,,,,
spyke,Spyke,"<p>Lentes de alta tecnologia — Prizm, VR28 e Low Light.</p><p>Óculos Spyke com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Low Light,ML-SPYKE-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/spyke/low-light.jpg,1,Spyke — Low Light,https://site-pi-six-62.vercel.app/assets/produtos/spyke/low-light.jpg,FALSE,Spyke — Monster Lupas,"Lentes de alta tecnologia — Prizm, VR28 e Low Light.",active
spyke,,,,,,,,,Prizm,ML-SPYKE-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/spyke/prizm.jpg,2,Spyke — Prizm,https://site-pi-six-62.vercel.app/assets/produtos/spyke/prizm.jpg,,,,
straight-jacket,Straight Jacket,"<p>O clássico anos 90 que inspirou toda uma geração de modelos esportivos.</p><p>Óculos Straight Jacket com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Cooper Lente Preta,ML-STRAIGHT-JACKET-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/straight-jacket/cooper-lente-preta.jpg,1,Straight Jacket — Cooper Lente Preta,https://site-pi-six-62.vercel.app/assets/produtos/straight-jacket/cooper-lente-preta.jpg,FALSE,Straight Jacket — Monster Lupas,O clássico anos 90 que inspirou toda uma geração de modelos esportivos.,active
straight-jacket,,,,,,,,,Cooper Lente Tanzanite,ML-STRAIGHT-JACKET-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/straight-jacket/cooper-lente-tanzanite.jpg,2,Straight Jacket — Cooper Lente Tanzanite,https://site-pi-six-62.vercel.app/assets/produtos/straight-jacket/cooper-lente-tanzanite.jpg,,,,
thump,Thump,"<p>Peça de colecionador — um dos primeiros óculos wearable da história.</p><p>Óculos Thump com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades, colecao-colecionador",TRUE,Cor,Carbon Lentes G26,ML-THUMP-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/thump/carbon-lentes-g26.jpg,1,Thump — Carbon Lentes G26,https://site-pi-six-62.vercel.app/assets/produtos/thump/carbon-lentes-g26.jpg,FALSE,Thump — Monster Lupas,Peça de colecionador — um dos primeiros óculos wearable da história.,active
thump,,,,,,,,,Carbon Lentes Ice,ML-THUMP-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/thump/carbon-lentes-ice.jpg,2,Thump — Carbon Lentes Ice,https://site-pi-six-62.vercel.app/assets/produtos/thump/carbon-lentes-ice.jpg,,,,
vilao-com-mola,Vilão com Mola,"<p>A lupinha do vilão — armação de metal com mola, estilo urbano marcante.</p><p>Óculos Vilão com Mola com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-streetwear, colecao-novidades",TRUE,Cor,Dourada Transparente,ML-VILAO-COM-MOLA-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/vilao-com-mola/dourada-transparente.jpg,1,Vilão com Mola — Dourada Transparente,https://site-pi-six-62.vercel.app/assets/produtos/vilao-com-mola/dourada-transparente.jpg,FALSE,Vilão com Mola — Monster Lupas,"A lupinha do vilão — armação de metal com mola, estilo urbano marcante.",active
vilao-com-mola,,,,,,,,,Prata Transparente,ML-VILAO-COM-MOLA-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/vilao-com-mola/prata-transparente.jpg,2,Vilão com Mola — Prata Transparente,https://site-pi-six-62.vercel.app/assets/produtos/vilao-com-mola/prata-transparente.jpg,,,,
