Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sem-nome-franjas-1390,SEM NOME — Conjunto Franjas com Bracelete (confirmar nome com Natália),"<p>Conjunto artesanal em macramê premium, top forrado e saia com bracelete em franjas, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p><p><strong>ATENÇÃO INTERNA: nome do produto pendente de confirmação com a Natália antes de publicar.</strong></p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,sem-nome-franjas-PP,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,false,[NOME PENDENTE] Conjunto Franjas | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,draft
sem-nome-franjas-1390,,,,,,,,,P,,,,,,,,sem-nome-franjas-P,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
sem-nome-franjas-1390,,,,,,,,,M,,,,,,,,sem-nome-franjas-M,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
sem-nome-franjas-1390,,,,,,,,,G,,,,,,,,sem-nome-franjas-G,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
sem-nome-franjas-1390,,,,,,,,,GG,,,,,,,,sem-nome-franjas-GG,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
sem-nome-franjas-1390,,,,,,,,,ÚNICO,,,,,,,,sem-nome-franjas-U,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
mariana,Mariana,"<p>Vestido artesanal em macramê premium, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores.</p>",Natalia Silveira,,Vestido,"vestido, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,mariana-PP,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,false,Mariana — Vestido Artesanal | Natalia Silveira,Vestido artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
mariana,,,,,,,,,P,,,,,,,,mariana-P,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
mariana,,,,,,,,,M,,,,,,,,mariana-M,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
mariana,,,,,,,,,G,,,,,,,,mariana-G,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
mariana,,,,,,,,,GG,,,,,,,,mariana-GG,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
mariana,,,,,,,,,ÚNICO,,,,,,,,mariana-U,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
divina,Divina,"<p>Conjunto artesanal em macramê premium, top forrado e saia, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,divina-PP,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,false,Divina — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
divina,,,,,,,,,P,,,,,,,,divina-P,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
divina,,,,,,,,,M,,,,,,,,divina-M,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
divina,,,,,,,,,G,,,,,,,,divina-G,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
divina,,,,,,,,,GG,,,,,,,,divina-GG,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
divina,,,,,,,,,ÚNICO,,,,,,,,divina-U,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
gabrielli,Gabrielli,"<p>Vestido artesanal em macramê premium, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores.</p>",Natalia Silveira,,Vestido,"vestido, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,gabrielli-PP,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,false,Gabrielli — Vestido Artesanal | Natalia Silveira,Vestido artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
gabrielli,,,,,,,,,P,,,,,,,,gabrielli-P,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
gabrielli,,,,,,,,,M,,,,,,,,gabrielli-M,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
gabrielli,,,,,,,,,G,,,,,,,,gabrielli-G,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
gabrielli,,,,,,,,,GG,,,,,,,,gabrielli-GG,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
gabrielli,,,,,,,,,ÚNICO,,,,,,,,gabrielli-U,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
gabi,Gabi,"<p>Conjunto artesanal em macramê premium, top forrado e saia, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,gabi-PP,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,false,Gabi — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
gabi,,,,,,,,,P,,,,,,,,gabi-P,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
gabi,,,,,,,,,M,,,,,,,,gabi-M,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
gabi,,,,,,,,,G,,,,,,,,gabi-G,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
gabi,,,,,,,,,GG,,,,,,,,gabi-GG,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
gabi,,,,,,,,,ÚNICO,,,,,,,,gabi-U,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
vanuza-conjunto,Vanuza,"<p>Conjunto artesanal em macramê premium, top com forro e ombreira e saia, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,vanuza-conjunto-PP,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,false,Vanuza — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
vanuza-conjunto,,,,,,,,,P,,,,,,,,vanuza-conjunto-P,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
vanuza-conjunto,,,,,,,,,M,,,,,,,,vanuza-conjunto-M,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
vanuza-conjunto,,,,,,,,,G,,,,,,,,vanuza-conjunto-G,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
vanuza-conjunto,,,,,,,,,GG,,,,,,,,vanuza-conjunto-GG,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
vanuza-conjunto,,,,,,,,,ÚNICO,,,,,,,,vanuza-conjunto-U,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
luxor,Luxor,"<p>Vestido artesanal em macramê premium com ombreira, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores.</p>",Natalia Silveira,,Vestido,"vestido, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,luxor-PP,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,false,Luxor — Vestido Artesanal | Natalia Silveira,Vestido artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
luxor,,,,,,,,,P,,,,,,,,luxor-P,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
luxor,,,,,,,,,M,,,,,,,,luxor-M,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
luxor,,,,,,,,,G,,,,,,,,luxor-G,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
luxor,,,,,,,,,GG,,,,,,,,luxor-GG,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
luxor,,,,,,,,,ÚNICO,,,,,,,,luxor-U,1500.0,,0,continue,manual,990.00,,true,true,,,,,,,,,,,,,kg,,,
natacha,Natacha,"<p>Vestido artesanal em macramê premium, top e saia com forro, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores.</p><p><strong>ATENÇÃO INTERNA: foto do produto não encontrada nas mídias recebidas — pedir para Natália reenviar antes de publicar.</strong></p>",Natalia Silveira,,Vestido,"vestido, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,natacha-PP,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,false,Natacha — Vestido Artesanal | Natalia Silveira,Vestido artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,draft
natacha,,,,,,,,,P,,,,,,,,natacha-P,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
natacha,,,,,,,,,M,,,,,,,,natacha-M,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
natacha,,,,,,,,,G,,,,,,,,natacha-G,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
natacha,,,,,,,,,GG,,,,,,,,natacha-GG,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
natacha,,,,,,,,,ÚNICO,,,,,,,,natacha-U,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
