Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Image Src,Image Position,Image Alt Text,Variant Image,Status
camisa-compressao-lgd,,,,,,,Tamanho,G,Cor,Branco,LGD-CMP-G-BRA,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,,,,,,,Tamanho,G,Cor,Preto,LGD-CMP-G-PRE,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,,,,,,,Tamanho,GG,Cor,Branco,LGD-CMP-GG-BRA,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,,,,,,,Tamanho,GG,Cor,Preto,LGD-CMP-GG-PRE,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,Regata LGD,"<p>Regata LGD Records em malha canelada, gola careca e estampa autoral do escudo LGD. Peça leve para o dia a dia.</p>",LGD Records,Regatas,"regata,streetwear,lgd,novidade",TRUE,Tamanho,P,Cor,Cinza,LGD-REG-P-CIN,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,Regata LGD Records | Streetwear Autoral,"Regata LGD Records em malha canelada com estampa autoral. Tamanhos P ao GG, cinza e branca. Pix ou 2x sem juros.",,,,,active
regata-lgd,,,,,,,Tamanho,P,Cor,Branco,LGD-REG-P-BRA,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,M,Cor,Cinza,LGD-REG-M-CIN,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,M,Cor,Branco,LGD-REG-M-BRA,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,G,Cor,Cinza,LGD-REG-G-CIN,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,G,Cor,Branco,LGD-REG-G-BRA,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,GG,Cor,Cinza,LGD-REG-GG-CIN,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
regata-lgd,,,,,,,Tamanho,GG,Cor,Branco,LGD-REG-GG-BRA,120,shopify,10,deny,manual,60.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-americana-lgd,Camisa Americana LGD,"<p>Camisa americana (regata canelada) LGD Records branca, tecido leve e estampa autoral do escudo LGD. Corte reto, gola careca com acabamento em ribana.</p>",LGD Records,Camisas Americanas,"camisa americana,regata,streetwear,lgd,novidade",TRUE,Tamanho,P,,,LGD-AME-P,120,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,Camisa Americana LGD Records | Streetwear Autoral,Camisa americana LGD Records branca com estampa autoral. Tamanhos P ao GG. Pix ou 2x sem juros.,,,,,active
camisa-americana-lgd,,,,,,,Tamanho,M,,,LGD-AME-M,120,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-americana-lgd,,,,,,,Tamanho,G,,,LGD-AME-G,120,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-americana-lgd,,,,,,,Tamanho,GG,,,LGD-AME-GG,120,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,Camisa Cotton LGD,"<p>Camiseta LGD Records 100% algodão com estampa autoral ""Legado"". Malha reforçada, corte regular, caimento confortável no dia a dia.</p>",LGD Records,Camisas,"camiseta,cotton,streetwear,lgd,novidade,mais-vendido",TRUE,Tamanho,P,Cor,Branco,LGD-COT-P-BRA,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,Camisa Cotton LGD Records | Estampa Legado,"Camiseta 100% algodão LGD Records com estampa autoral Legado. Branca e cinza, tamanhos P ao GG. Pix ou 2x sem juros.",,,,,active
camisa-cotton-lgd,,,,,,,Tamanho,P,Cor,Cinza,LGD-COT-P-CIN,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,M,Cor,Branco,LGD-COT-M-BRA,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,M,Cor,Cinza,LGD-COT-M-CIN,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,G,Cor,Branco,LGD-COT-G-BRA,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,G,Cor,Cinza,LGD-COT-G-CIN,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,GG,Cor,Branco,LGD-COT-GG-BRA,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-cotton-lgd,,,,,,,Tamanho,GG,Cor,Cinza,LGD-COT-GG-CIN,180,shopify,10,deny,manual,50.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-estampada-preta,Camiseta Estampada Preta,<p>Camiseta preta LGD Records com estampa exclusiva. Malha 30.1 penteada. Peça de edição limitada. <strong>Preço sujeito a confirmação.</strong></p>,LGD Records,Camisas,"camiseta,streetwear,lgd,novidade,preco-a-confirmar",TRUE,Tamanho,P,,,LGD-EST-PRT-P,180,shopify,10,deny,manual,99.90,,TRUE,TRUE,FALSE,Camiseta Estampada Preta LGD Records,Camiseta preta LGD Records com estampa exclusiva. Edição limitada. Tamanhos P ao GG.,,,,,active
camisa-estampada-preta,,,,,,,Tamanho,M,,,LGD-EST-PRT-M,180,shopify,10,deny,manual,99.90,,TRUE,TRUE,FALSE,,,,,,,
camisa-estampada-preta,,,,,,,Tamanho,G,,,LGD-EST-PRT-G,180,shopify,10,deny,manual,99.90,,TRUE,TRUE,FALSE,,,,,,,
camisa-estampada-preta,,,,,,,Tamanho,GG,,,LGD-EST-PRT-GG,180,shopify,10,deny,manual,99.90,,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-roxa,"Camiseta ""Legado Exclusivo"" Roxa","<p>Camiseta de alta qualidade em malha premium, cor roxa. Corte regular. Silk screen em alto relevo. 100% algodão penteado.</p>",LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-ROX-P,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,"Camiseta ""Legado Exclusivo"" Roxa | Promoção LGD Records","Camiseta de alta qualidade em malha premium, cor roxa. Corte regular. Silk screen em alto relevo. 100% algodão penteado. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.",,,,,active
legado-exclusivo-roxa,,,,,,,Tamanho,M,,,LGD-ROX-M,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-roxa,,,,,,,Tamanho,G,,,LGD-ROX-G,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-roxa,,,,,,,Tamanho,GG,,,LGD-ROX-GG,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-verde,"Camiseta ""Legado Exclusivo"" Verde","<p>Camiseta de alta qualidade em malha premium, cor verde. Corte regular. Silk screen em alto relevo. 100% algodão penteado.</p>",LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-VER-P,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,"Camiseta ""Legado Exclusivo"" Verde | Promoção LGD Records","Camiseta de alta qualidade em malha premium, cor verde. Corte regular. Silk screen em alto relevo. 100% algodão penteado. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.",,,,,active
legado-exclusivo-verde,,,,,,,Tamanho,M,,,LGD-VER-M,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-verde,,,,,,,Tamanho,G,,,LGD-VER-G,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-exclusivo-verde,,,,,,,Tamanho,GG,,,LGD-VER-GG,180,shopify,10,deny,manual,83.90,119.90,TRUE,TRUE,FALSE,,,,,,,
legado-circle-preta,"Camiseta ""Legado Circle"" Preta",<p>Camiseta preta com estampa circle exclusiva. Malha 30.1 penteada. Gola reforçada.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-CIR-P,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,"Camiseta ""Legado Circle"" Preta | Promoção LGD Records",Camiseta preta com estampa circle exclusiva. Malha 30.1 penteada. Gola reforçada. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
legado-circle-preta,,,,,,,Tamanho,M,,,LGD-CIR-M,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-circle-preta,,,,,,,Tamanho,G,,,LGD-CIR-G,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-circle-preta,,,,,,,Tamanho,GG,,,LGD-CIR-GG,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-azul-tiffany,"Camiseta ""Legado"" Azul Tiffany",<p>Camiseta na exclusiva cor azul Tiffany. Malha 30.1 penteada. Silk screen na frente e costas.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-AZT-P,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,"Camiseta ""Legado"" Azul Tiffany | Promoção LGD Records",Camiseta na exclusiva cor azul Tiffany. Malha 30.1 penteada. Silk screen na frente e costas. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
legado-azul-tiffany,,,,,,,Tamanho,M,,,LGD-AZT-M,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-azul-tiffany,,,,,,,Tamanho,G,,,LGD-AZT-G,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-azul-tiffany,,,,,,,Tamanho,GG,,,LGD-AZT-GG,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-chrome-marrom,"Camiseta ""Legado Chrome"" Marrom",<p>Camiseta na cor marrom com estampa chrome exclusiva. Malha 30.1 penteada. Caimento oversized.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-CHR-P,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,"Camiseta ""Legado Chrome"" Marrom | Promoção LGD Records",Camiseta na cor marrom com estampa chrome exclusiva. Malha 30.1 penteada. Caimento oversized. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
legado-chrome-marrom,,,,,,,Tamanho,M,,,LGD-CHR-M,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
legado-chrome-marrom,,,,,,,Tamanho,G,,,LGD-CHR-G,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
legado-chrome-marrom,,,,,,,Tamanho,GG,,,LGD-CHR-GG,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
legado-branca,"Camiseta ""Legado"" Branca",<p>Camiseta branca com estampa LGD Records. Malha 30.1 penteada. Edição limitada.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-BRA-P,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,"Camiseta ""Legado"" Branca | Promoção LGD Records",Camiseta branca com estampa LGD Records. Malha 30.1 penteada. Edição limitada. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
legado-branca,,,,,,,Tamanho,M,,,LGD-BRA-M,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-branca,,,,,,,Tamanho,G,,,LGD-BRA-G,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
legado-branca,,,,,,,Tamanho,GG,,,LGD-BRA-GG,180,shopify,10,deny,manual,69.90,99.90,TRUE,TRUE,FALSE,,,,,,,
judas-morreu-marrom,"Camiseta ""Judas Morreu"" Marrom","<p>Camiseta exclusiva ""Judas Morreu"". Malha 30.1 penteada. Estampa especial. Edição limitada.</p>",LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-JUD-P,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,"Camiseta ""Judas Morreu"" Marrom | Promoção LGD Records","Camiseta exclusiva ""Judas Morreu"". Malha 30.1 penteada. Estampa especial. Edição limitada. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.",,,,,active
judas-morreu-marrom,,,,,,,Tamanho,M,,,LGD-JUD-M,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
judas-morreu-marrom,,,,,,,Tamanho,G,,,LGD-JUD-G,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
judas-morreu-marrom,,,,,,,Tamanho,GG,,,LGD-JUD-GG,180,shopify,10,deny,manual,76.90,109.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-vermelho,"Short ""LGD"" Vermelho",<p>Short LGD vermelho. Tecido leve e confortável. Bolsos laterais. Elástico com cordão de ajuste.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-SHV-P,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,"Short ""LGD"" Vermelho | Promoção LGD Records",Short LGD vermelho. Tecido leve e confortável. Bolsos laterais. Elástico com cordão de ajuste. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
short-lgd-vermelho,,,,,,,Tamanho,M,,,LGD-SHV-M,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-vermelho,,,,,,,Tamanho,G,,,LGD-SHV-G,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-vermelho,,,,,,,Tamanho,GG,,,LGD-SHV-GG,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-azul,"Short ""LGD"" Azul",<p>Short LGD azul. Tecido leve e confortável. Bolsos laterais. Elástico com cordão de ajuste.</p>,LGD Records,Camisas Antigas,"streetwear,lgd,promocao,camisas-antigas",TRUE,Tamanho,P,,,LGD-SHA-P,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,"Short ""LGD"" Azul | Promoção LGD Records",Short LGD azul. Tecido leve e confortável. Bolsos laterais. Elástico com cordão de ajuste. Coleção Camisas Antigas com preço promocional. Pix ou 2x sem juros.,,,,,active
short-lgd-azul,,,,,,,Tamanho,M,,,LGD-SHA-M,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-azul,,,,,,,Tamanho,G,,,LGD-SHA-G,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
short-lgd-azul,,,,,,,Tamanho,GG,,,LGD-SHA-GG,180,shopify,10,deny,manual,55.90,79.90,TRUE,TRUE,FALSE,,,,,,,
