Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Status,Image Src,Image Position,Image Alt Text
rb-bragantino,Rb Bragantino,"<p>Camisa Rb Bragantino — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,rb-bragantino-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\rb-bragantino\imagem-principal.jpg,1,Rb Bragantino
rb-bragantino,,,,,,,,Tamanho,M,rb-bragantino-M,179.90,100,deny,manual,TRUE,,,,
rb-bragantino,,,,,,,,Tamanho,G,rb-bragantino-G,179.90,100,deny,manual,TRUE,,,,
rb-bragantino,,,,,,,,Tamanho,GG,rb-bragantino-GG,179.90,100,deny,manual,TRUE,,,,
rb-bragantino,,,,,,,,Tamanho,XG,rb-bragantino-XG,179.90,100,deny,manual,TRUE,,,,
remo,Remo,"<p>Camisa Remo — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,remo-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\remo\imagem-principal.jpg,1,Remo
remo,,,,,,,,Tamanho,M,remo-M,179.90,100,deny,manual,TRUE,,,,
remo,,,,,,,,Tamanho,G,remo-G,179.90,100,deny,manual,TRUE,,,,
remo,,,,,,,,Tamanho,GG,remo-GG,179.90,100,deny,manual,TRUE,,,,
remo,,,,,,,,Tamanho,XG,remo-XG,179.90,100,deny,manual,TRUE,,,,
santa-cruz,Santa Cruz,"<p>Camisa Santa Cruz — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,santa-cruz-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\santa-cruz\imagem-principal.jpeg,1,Santa Cruz
santa-cruz,,,,,,,,Tamanho,M,santa-cruz-M,179.90,100,deny,manual,TRUE,,,,
santa-cruz,,,,,,,,Tamanho,G,santa-cruz-G,179.90,100,deny,manual,TRUE,,,,
santa-cruz,,,,,,,,Tamanho,GG,santa-cruz-GG,179.90,100,deny,manual,TRUE,,,,
santa-cruz,,,,,,,,Tamanho,XG,santa-cruz-XG,179.90,100,deny,manual,TRUE,,,,
santos,Santos,"<p>Camisa Santos — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,santos-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\santos\imagem-principal.jpg,1,Santos
santos,,,,,,,,Tamanho,M,santos-M,179.90,100,deny,manual,TRUE,,,,
santos,,,,,,,,Tamanho,G,santos-G,179.90,100,deny,manual,TRUE,,,,
santos,,,,,,,,Tamanho,GG,santos-GG,179.90,100,deny,manual,TRUE,,,,
santos,,,,,,,,Tamanho,XG,santos-XG,179.90,100,deny,manual,TRUE,,,,
sport,Sport,"<p>Camisa Sport — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,sport-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\sport\imagem-principal.jpg,1,Sport
sport,,,,,,,,Tamanho,M,sport-M,179.90,100,deny,manual,TRUE,,,,
sport,,,,,,,,Tamanho,G,sport-G,179.90,100,deny,manual,TRUE,,,,
sport,,,,,,,,Tamanho,GG,sport-GG,179.90,100,deny,manual,TRUE,,,,
sport,,,,,,,,Tamanho,XG,sport-XG,179.90,100,deny,manual,TRUE,,,,
sao-paulo,São Paulo,"<p>Camisa São Paulo — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,sao-paulo-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\sao-paulo\imagem-principal.jpg,1,São Paulo
sao-paulo,,,,,,,,Tamanho,M,sao-paulo-M,179.90,100,deny,manual,TRUE,,,,
sao-paulo,,,,,,,,Tamanho,G,sao-paulo-G,179.90,100,deny,manual,TRUE,,,,
sao-paulo,,,,,,,,Tamanho,GG,sao-paulo-GG,179.90,100,deny,manual,TRUE,,,,
sao-paulo,,,,,,,,Tamanho,XG,sao-paulo-XG,179.90,100,deny,manual,TRUE,,,,
vasco,Vasco,"<p>Camisa Vasco — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,vasco-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\vasco\imagem-principal.jpg,1,Vasco
vasco,,,,,,,,Tamanho,M,vasco-M,179.90,100,deny,manual,TRUE,,,,
vasco,,,,,,,,Tamanho,G,vasco-G,179.90,100,deny,manual,TRUE,,,,
vasco,,,,,,,,Tamanho,GG,vasco-GG,179.90,100,deny,manual,TRUE,,,,
vasco,,,,,,,,Tamanho,XG,vasco-XG,179.90,100,deny,manual,TRUE,,,,
alaves,Alaves,"<p>Camisa Alaves — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,alaves-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\alaves\imagem-principal.png,1,Alaves
alaves,,,,,,,,Tamanho,M,alaves-M,179.90,100,deny,manual,TRUE,,,,
alaves,,,,,,,,Tamanho,G,alaves-G,179.90,100,deny,manual,TRUE,,,,
alaves,,,,,,,,Tamanho,GG,alaves-GG,179.90,100,deny,manual,TRUE,,,,
alaves,,,,,,,,Tamanho,XG,alaves-XG,179.90,100,deny,manual,TRUE,,,,
almeria,Almeria,"<p>Camisa Almeria — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,almeria-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\almeria\imagem-principal.jpg,1,Almeria
almeria,,,,,,,,Tamanho,M,almeria-M,179.90,100,deny,manual,TRUE,,,,
almeria,,,,,,,,Tamanho,G,almeria-G,179.90,100,deny,manual,TRUE,,,,
almeria,,,,,,,,Tamanho,GG,almeria-GG,179.90,100,deny,manual,TRUE,,,,
almeria,,,,,,,,Tamanho,XG,almeria-XG,179.90,100,deny,manual,TRUE,,,,
arsenal,Arsenal,"<p>Camisa Arsenal — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,arsenal-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\arsenal\imagem-principal.jpg,1,Arsenal
arsenal,,,,,,,,Tamanho,M,arsenal-M,179.90,100,deny,manual,TRUE,,,,
arsenal,,,,,,,,Tamanho,G,arsenal-G,179.90,100,deny,manual,TRUE,,,,
arsenal,,,,,,,,Tamanho,GG,arsenal-GG,179.90,100,deny,manual,TRUE,,,,
arsenal,,,,,,,,Tamanho,XG,arsenal-XG,179.90,100,deny,manual,TRUE,,,,
aston-villa,Aston Villa,"<p>Camisa Aston Villa — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,aston-villa-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\aston-villa\imagem-principal.jpg,1,Aston Villa
aston-villa,,,,,,,,Tamanho,M,aston-villa-M,179.90,100,deny,manual,TRUE,,,,
aston-villa,,,,,,,,Tamanho,G,aston-villa-G,179.90,100,deny,manual,TRUE,,,,
aston-villa,,,,,,,,Tamanho,GG,aston-villa-GG,179.90,100,deny,manual,TRUE,,,,
aston-villa,,,,,,,,Tamanho,XG,aston-villa-XG,179.90,100,deny,manual,TRUE,,,,
atalanta,Atalanta,"<p>Camisa Atalanta — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,atalanta-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\atalanta\imagem-principal.jpg,1,Atalanta
atalanta,,,,,,,,Tamanho,M,atalanta-M,179.90,100,deny,manual,TRUE,,,,
atalanta,,,,,,,,Tamanho,G,atalanta-G,179.90,100,deny,manual,TRUE,,,,
atalanta,,,,,,,,Tamanho,GG,atalanta-GG,179.90,100,deny,manual,TRUE,,,,
atalanta,,,,,,,,Tamanho,XG,atalanta-XG,179.90,100,deny,manual,TRUE,,,,
athletic-bilbao,Athletic Bilbao,"<p>Camisa Athletic Bilbao — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,athletic-bilbao-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\athletic-bilbao\imagem-principal.jpg,1,Athletic Bilbao
athletic-bilbao,,,,,,,,Tamanho,M,athletic-bilbao-M,179.90,100,deny,manual,TRUE,,,,
athletic-bilbao,,,,,,,,Tamanho,G,athletic-bilbao-G,179.90,100,deny,manual,TRUE,,,,
athletic-bilbao,,,,,,,,Tamanho,GG,athletic-bilbao-GG,179.90,100,deny,manual,TRUE,,,,
athletic-bilbao,,,,,,,,Tamanho,XG,athletic-bilbao-XG,179.90,100,deny,manual,TRUE,,,,
atletico-de-madrid,Atletico de Madrid,"<p>Camisa Atletico de Madrid — modelo Fan. Coleção Europa. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Europa, Fan, Futebol",TRUE,Tamanho,P,atletico-de-madrid-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\EUROPA\atletico-de-madrid\imagem-principal.jpg,1,Atletico de Madrid
atletico-de-madrid,,,,,,,,Tamanho,M,atletico-de-madrid-M,179.90,100,deny,manual,TRUE,,,,
atletico-de-madrid,,,,,,,,Tamanho,G,atletico-de-madrid-G,179.90,100,deny,manual,TRUE,,,,
atletico-de-madrid,,,,,,,,Tamanho,GG,atletico-de-madrid-GG,179.90,100,deny,manual,TRUE,,,,
atletico-de-madrid,,,,,,,,Tamanho,XG,atletico-de-madrid-XG,179.90,100,deny,manual,TRUE,,,,
