"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Product Category","Status"
"amostra-fakhar-gold","Amostra Fakhar Gold","<h2>Amostra Fakhar Gold</h2>
<p>Amostra Fakhar Gold — fragrância importada de alta fixação, ideal para uso diário ou ocasiões especiais.</p>
<h3>Diferenciais</h3>
<ul>
<li>Fragrância importada</li>
<li>Alta fixação</li>
<li>Frasco original</li>
<li>Ideal para presentear</li>
</ul>","Deroche Perfumes","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","Perfumes","Perfumes, Gold, Masculino, Perfume Importado","TRUE","Title","Default Title","","","2728282822828","400","shopify","3","deny","manual","50.00","","TRUE","TRUE","","1","Amostra Fakhar Gold","FALSE","Amostra Fakhar Gold | Deroche Mantos","Compre Amostra Fakhar Gold na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","active"
"amostra-jorge-di-profumo","Amostra Jorge Di Profumo","<h2>Amostra Jorge Di Profumo</h2>
<p>Amostra Jorge Di Profumo — fragrância importada de alta fixação, ideal para uso diário ou ocasiões especiais.</p>
<h3>Diferenciais</h3>
<ul>
<li>Fragrância importada</li>
<li>Alta fixação</li>
<li>Frasco original</li>
<li>Ideal para presentear</li>
</ul>","Deroche Perfumes","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","Perfumes","Perfumes, Masculino, Perfume Importado","TRUE","Title","Default Title","","","19191929292","400","shopify","1","deny","manual","50.00","","TRUE","TRUE","","1","Amostra Jorge Di Profumo","FALSE","Amostra Jorge Di Profumo | Deroche Mantos","Compre Amostra Jorge Di Profumo na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","active"
"amostra-le-falcone-elegant","Amostra Le Falconé Elegant","<h2>Amostra Le Falconé Elegant</h2>
<p>Amostra Le Falconé Elegant — fragrância importada de alta fixação, ideal para uso diário ou ocasiões especiais.</p>
<h3>Diferenciais</h3>
<ul>
<li>Fragrância importada</li>
<li>Alta fixação</li>
<li>Frasco original</li>
<li>Ideal para presentear</li>
</ul>","Deroche Perfumes","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","Perfumes","Perfumes, Masculino, Perfume Importado","TRUE","Title","Default Title","","","2828282828181","400","shopify","2","deny","manual","50.00","","TRUE","TRUE","","1","Amostra Le Falconé Elegant","FALSE","Amostra Le Falconé Elegant | Deroche Mantos","Compre Amostra Le Falconé Elegant na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","active"
"argentina-branca-2026","Argentina Branca 2026","<h2>Argentina Branca 2026</h2>
<p>Camisa inspirada no uniforme do Argentina temporada 2026. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Argentina, Camisa Argentina, 2026, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","282828282811818-P","200","shopify","4","deny","manual","180.00","","TRUE","TRUE","","1","Argentina Branca 2026","FALSE","Argentina Branca 2026 | Deroche Mantos","Compre Argentina Branca 2026 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"argentina-branca-2026","","","","","","","","Tamanho","M","","","282828282811818-M","200","shopify","3","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"argentina-branca-2026","","","","","","","","Tamanho","G","","","282828282811818-G","200","shopify","1","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"argentina-preta-2026","Argentina Preta 2026","<h2>Argentina Preta 2026</h2>
<p>Camisa inspirada no uniforme do Argentina temporada 2026. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Argentina, Camisa Argentina, 2026, Camisas Futebol, Preta, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","1828282828227-P","200","shopify","4","deny","manual","180.00","","TRUE","TRUE","","1","Argentina Preta 2026","FALSE","Argentina Preta 2026 | Deroche Mantos","Compre Argentina Preta 2026 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"argentina-preta-2026","","","","","","","","Tamanho","M","","","1828282828227-M","200","shopify","4","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"argentina-preta-2026","","","","","","","","Tamanho","G","","","1828282828227-G","200","shopify","5","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"argentina-preta-2026","","","","","","","","Tamanho","GG","","","1828282828227-GG","200","shopify","1","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"atletico-mineiro-2023-feminina","Atlético Mineiro 2023 Feminina","<h2>Atlético Mineiro 2023 Feminina</h2>
<p>Camisa inspirada no uniforme do Atlético Mineiro temporada 2023. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Atlético Mineiro, Camisa Atlético Mineiro, 2023, Camisas Futebol, Feminino, Futebol, Brasileirão","TRUE","Tamanho","M","","","2939192911029472691599558-M","200","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Atlético Mineiro 2023 Feminina","FALSE","Atlético Mineiro 2023 Feminina | Deroche Mantos","Compre Atlético Mineiro 2023 Feminina na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"atletico-mineiro-2024-feminina","Atlético Mineiro 2024 Feminina","<h2>Atlético Mineiro 2024 Feminina</h2>
<p>Camisa inspirada no uniforme do Atlético Mineiro temporada 2024. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Atlético Mineiro, Camisa Atlético Mineiro, 2024, Camisas Futebol, Feminino, Futebol, Brasileirão","TRUE","Tamanho","M","","","29391938283-M","200","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Atlético Mineiro 2024 Feminina","FALSE","Atlético Mineiro 2024 Feminina | Deroche Mantos","Compre Atlético Mineiro 2024 Feminina na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"atletico-mineiro-2025","Atlético Mineiro 2025","<h2>Atlético Mineiro 2025</h2>
<p>Camisa inspirada no uniforme do Atlético Mineiro temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Atlético Mineiro, Camisa Atlético Mineiro, 2025, Camisas Futebol, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","29482727227-P","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","1","Atlético Mineiro 2025","FALSE","Atlético Mineiro 2025 | Deroche Mantos","Compre Atlético Mineiro 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"bayern-de-munique-tradicional-2026","Bayern De Munique Tradicional 2026","<h2>Bayern De Munique Tradicional 2026</h2>
<p>Camisa inspirada no uniforme do Bayern De Munique temporada 2026. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Bayern De Munique, Camisa Bayern De Munique, 2026, Camisas Futebol, Masculino, Futebol, Brasileirão","TRUE","Tamanho","M","","","2929291919291-M","200","shopify","1","deny","manual","160.00","","TRUE","TRUE","","1","Bayern De Munique Tradicional 2026","FALSE","Bayern De Munique Tradicional 2026 | Deroche Mantos","Compre Bayern De Munique Tradicional 2026 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"bola-basquete-malten-fiba","Bola Basquete Malten FIBA","<h2>Bola Basquete Malten FIBA</h2>
<p>Bola Basquete Malten FIBA, bola oficial para prática esportiva, com boa durabilidade e desempenho.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Bom desempenho em quadra/campo</li>
<li>Durabilidade</li>
<li>Ideal para treino e jogo</li>
</ul>","Malten","Esportes e ar livre > Equipamentos esportivos > Bolas","Bolas","Bolas, Masculino","TRUE","Title","Default Title","","","1039183821","450","shopify","3","deny","manual","299.90","","TRUE","TRUE","","1","Bola Basquete Malten FIBA","FALSE","Bola Basquete Malten FIBA | Deroche Mantos","Compre Bola Basquete Malten FIBA na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Bolas","active"
"bola-futebol","Bola Futebol","<h2>Bola Futebol</h2>
<p>Bola Futebol, bola oficial para prática esportiva, com boa durabilidade e desempenho.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Bom desempenho em quadra/campo</li>
<li>Durabilidade</li>
<li>Ideal para treino e jogo</li>
</ul>","Deroche","Esportes e ar livre > Equipamentos esportivos > Bolas","Bolas","Bolas, Masculino","TRUE","Title","Default Title","","","102022","450","shopify","1","deny","manual","199.90","","TRUE","TRUE","","1","Bola Futebol","FALSE","Bola Futebol | Deroche Mantos","Compre Bola Futebol na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Bolas","active"
"bola-volei","Bola Vôlei","<h2>Bola Vôlei</h2>
<p>Bola Vôlei, bola oficial para prática esportiva, com boa durabilidade e desempenho.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Bom desempenho em quadra/campo</li>
<li>Durabilidade</li>
<li>Ideal para treino e jogo</li>
</ul>","Deroche","Esportes e ar livre > Equipamentos esportivos > Bolas","Bolas","Bolas, Masculino","TRUE","Title","Default Title","","","10201","450","shopify","1","deny","manual","89.90","","TRUE","TRUE","","1","Bola Vôlei","FALSE","Bola Vôlei | Deroche Mantos","Compre Bola Vôlei na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Bolas","active"
"bola-volei-malten","Bola Vôlei Malten","<h2>Bola Vôlei Malten</h2>
<p>Bola Vôlei Malten, bola oficial para prática esportiva, com boa durabilidade e desempenho.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Bom desempenho em quadra/campo</li>
<li>Durabilidade</li>
<li>Ideal para treino e jogo</li>
</ul>","Malten","Esportes e ar livre > Equipamentos esportivos > Bolas","Bolas","Bolas, Masculino","TRUE","Title","Default Title","","","1828182","450","shopify","2","deny","manual","199.90","","TRUE","TRUE","","1","Bola Vôlei Malten","FALSE","Bola Vôlei Malten | Deroche Mantos","Compre Bola Vôlei Malten na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Bolas","active"
"bomba-de-ar","Bomba de Ar","<h2>Bomba de Ar</h2>
<p>Bomba de Ar, produto de qualidade Deroche Mantos, pronto para uso diário.</p>
<h3>Diferenciais</h3>
<ul>
<li>Alta qualidade</li>
<li>Bom custo-benefício</li>
<li>Pronta entrega</li>
</ul>","Deroche","Vestuário e acessórios > Acessórios de vestuário","Acessórios","Acessórios, Masculino","TRUE","Title","Default Title","","","818283828272","150","shopify","7","deny","manual","19.90","","TRUE","TRUE","","1","Bomba de Ar","FALSE","Bomba de Ar | Deroche Mantos","Compre Bomba de Ar na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Acessórios de vestuário","active"
"bone-anth-original","Boné Anth Original","<h2>Boné Anth Original</h2>
<p>Boné Anth Original, acessório para completar o visual com estilo e proteção contra o sol no dia a dia.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Ajuste confortável</li>
<li>Aba reforçada</li>
<li>Design streetwear</li>
</ul>","Anth","Vestuário e acessórios > Acessórios de vestuário > Chapéus","Bonés","Bonés, Masculino","TRUE","Title","Default Title","","","18181818181","150","shopify","21","deny","manual","79.90","","TRUE","TRUE","","1","Boné Anth Original","FALSE","Boné Anth Original | Deroche Mantos","Compre Boné Anth Original na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Acessórios de vestuário > Chapéus","active"
"botafogo-preta-2024","Botafogo Preta 2024","<h2>Botafogo Preta 2024</h2>
<p>Camisa inspirada no uniforme do Botafogo temporada 2024. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Botafogo, Camisa Botafogo, 2024, Camisas Futebol, Preta, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","292938271-P","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","1","Botafogo Preta 2024","FALSE","Botafogo Preta 2024 | Deroche Mantos","Compre Botafogo Preta 2024 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"botafogo-preta-2024","","","","","","","","Tamanho","GG","","","292938271-GG","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"botafogo-preta-2025","Botafogo Preta 2025","<h2>Botafogo Preta 2025</h2>
<p>Camisa inspirada no uniforme do Botafogo temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Botafogo, Camisa Botafogo, 2025, Camisas Futebol, Preta, Masculino, Futebol, Brasileirão","TRUE","Tamanho","G","","","182838281818181-G","200","shopify","2","deny","manual","149.90","","TRUE","TRUE","","1","Botafogo Preta 2025","FALSE","Botafogo Preta 2025 | Deroche Mantos","Compre Botafogo Preta 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"brasil-amarela-2026","Brasil Amarela 2026","<h2>Brasil Amarela 2026</h2>
<p>Camisa inspirada no uniforme do Brasil temporada 2026. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Brasil, Camisa Brasil, 2026, Camisas Futebol, Amarela, Masculino, Futebol, Brasileirão","TRUE","Tamanho","M","","","182828281188-M","200","shopify","2","deny","manual","180.00","","TRUE","TRUE","","1","Brasil Amarela 2026","FALSE","Brasil Amarela 2026 | Deroche Mantos","Compre Brasil Amarela 2026 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"brasil-amarela-2026","","","","","","","","Tamanho","G","","","182828281188-G","200","shopify","23","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"brasil-amarela-2026","","","","","","","","Tamanho","GG","","","182828281188-GG","200","shopify","8","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"brasil-amarela-2026","","","","","","","","Tamanho","XGG","","","182828281188-XGG","200","shopify","4","deny","manual","180.00","","TRUE","TRUE","","","","","","","",""
"brasil-azul-world-cup-22-feminina","Brasil Azul World Cup 22 Feminina","<h2>Brasil Azul World Cup 22 Feminina</h2>
<p>Camisa inspirada no uniforme do Brasil. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Brasil, Camisa Brasil, Camisas Futebol, Azul, Feminino, Futebol, Brasileirão","TRUE","Tamanho","XGG","","","8282829492-XGG","200","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Brasil Azul World Cup 22 Feminina","FALSE","Brasil Azul World Cup 22 Feminina | Deroche Mantos","Compre Brasil Azul World Cup 22 Feminina na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
